operator,constant,found,total,elapsed_ms
Plus_Cos_Cosh,I,2,35,3.45ms
Plus_Cos_Tanh,1,3,35,3.50ms
Plus_Cos_Tanh,E,3,35,4.02ms
Plus_Cos_Tanh,Pi,3,35,3.88ms
Plus_Cos_Tanh,-1,3,35,3.50ms
Plus_Cos_Tanh,2,3,35,3.77ms
Plus_Cos_Tanh,0,4,35,15.85ms
Plus_Cos_Tanh,I,2,35,3.85ms
Plus_Cos_Inv,1,3,35,2.72ms
Plus_Cos_Inv,E,3,35,2.68ms
Plus_Cos_Inv,Pi,3,35,2.75ms
Plus_Cos_Inv,-1,3,35,2.90ms
Plus_Cos_Inv,2,3,35,2.70ms
Plus_Cos_Inv,0,2,35,1.89ms
Plus_Cos_Inv,I,2,35,2.93ms
Plus_Cos_Minus,1,3,35,2.41ms
Plus_Cos_Minus,E,3,35,2.43ms
Plus_Cos_Minus,Pi,3,35,2.46ms
Plus_Cos_Minus,-1,3,35,2.51ms
Plus_Cos_Minus,2,3,35,2.50ms
Plus_Cos_Minus,0,4,35,10.84ms
Plus_Cos_Minus,I,2,35,2.54ms
Plus_Cos_Sqr,1,3,35,2.74ms
Plus_Cos_Sqr,E,3,35,2.74ms
Plus_Cos_Sqr,Pi,3,35,3.31ms
Plus_Cos_Sqr,-1,3,35,3.07ms
Plus_Cos_Sqr,2,3,35,2.79ms
Plus_Cos_Sqr,0,5,35,24.17ms
Plus_Cos_Sqr,I,2,35,3.65ms
Plus_Cos_Sqrt,1,3,35,3.52ms
Plus_Cos_Sqrt,E,3,35,3.92ms
Plus_Cos_Sqrt,Pi,3,35,3.54ms
Plus_Cos_Sqrt,-1,3,35,3.66ms
Plus_Cos_Sqrt,2,3,35,3.45ms
Plus_Cos_Sqrt,0,5,35,32.36ms
Plus_Cos_Sqrt,I,2,35,3.74ms
Plus_Cos_Id,1,3,35,2.31ms
Plus_Cos_Id,E,3,35,2.30ms
Plus_Cos_Id,Pi,3,35,2.63ms
Plus_Cos_Id,-1,3,35,2.29ms
Plus_Cos_Id,2,3,35,2.36ms
Plus_Cos_Id,0,5,35,17.85ms
Plus_Cos_Id,I,2,35,2.42ms
Plus_Cos_LogisticSigmoid,1,3,35,3.23ms
Plus_Cos_LogisticSigmoid,E,3,35,3.36ms
Plus_Cos_LogisticSigmoid,Pi,3,35,3.38ms
Plus_Cos_LogisticSigmoid,-1,3,35,3.24ms
Plus_Cos_LogisticSigmoid,2,3,35,3.36ms
Plus_Cos_LogisticSigmoid,0,2,35,3.46ms
Plus_Cos_LogisticSigmoid,I,2,35,3.46ms
Plus_Tan_Tan,1,3,35,1.77ms
Plus_Tan_Tan,E,3,35,1.82ms
Plus_Tan_Tan,Pi,4,35,3.23ms
Plus_Tan_Tan,-1,3,35,1.80ms
Plus_Tan_Tan,2,3,35,1.80ms
Plus_Tan_Tan,0,3,35,3.07ms
Plus_Tan_Tan,I,2,35,2.00ms
Plus_Tan_Tanh,1,3,35,3.67ms
Plus_Tan_Tanh,E,3,35,3.58ms
Plus_Tan_Tanh,Pi,5,35,21.14ms
Plus_Tan_Tanh,-1,3,35,3.62ms
Plus_Tan_Tanh,2,3,35,3.58ms
Plus_Tan_Tanh,0,5,35,47.88ms
Plus_Tan_Tanh,I,2,35,3.87ms
Plus_ArcSin_Exp,1,3,35,5.10ms
Plus_ArcSin_Exp,E,4,35,21.20ms
Plus_ArcSin_Exp,Pi,4,35,21.08ms
Plus_ArcSin_Exp,-1,3,35,5.05ms
Plus_ArcSin_Exp,2,3,35,5.26ms
Plus_ArcSin_Exp,0,6,35,141.29ms
Plus_ArcSin_Exp,I,2,35,5.49ms
Plus_ArcSin_Log,1,4,35,14.63ms
Plus_ArcSin_Log,E,3,35,5.91ms
Plus_ArcSin_Log,Pi,3,35,5.86ms
Plus_ArcSin_Log,-1,3,35,5.83ms
Plus_ArcSin_Log,2,3,35,5.91ms
Plus_ArcSin_Log,0,3,35,8.00ms
Plus_ArcSin_Log,I,2,35,6.30ms
Plus_ArcSin_Sin,1,3,35,5.28ms
Plus_ArcSin_Sin,E,3,35,5.44ms
Plus_ArcSin_Sin,Pi,4,35,15.04ms
Plus_ArcSin_Sin,-1,3,35,5.44ms
Plus_ArcSin_Sin,2,3,35,5.43ms
Plus_ArcSin_Sin,0,5,35,25.35ms
Plus_ArcSin_Sin,I,2,35,5.56ms
Plus_ArcSin_Cos,1,3,35,5.25ms
Plus_ArcSin_Cos,E,3,35,5.80ms
Plus_ArcSin_Cos,Pi,3,35,5.38ms
Plus_ArcSin_Cos,-1,3,35,5.12ms
Plus_ArcSin_Cos,2,3,35,5.33ms
Plus_ArcSin_Cos,0,13,35,2.16s
Plus_ArcSin_Cos,I,2,35,5.41ms
